City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
188,Barkhan,PK,2022-08-11 18:36:17,29.8977,69.5256,81.39,61,1,6.11
189,Suntar,RU,2022-08-11 18:36:17,62.1444,117.6319,61.59,72,100,2.95
190,Kesova Gora,RU,2022-08-11 18:33:17,57.5836,37.2922,58.53,69,64,5.19
191,Arraial Do Cabo,BR,2022-08-11 18:36:18,-22.9661,-42.0278,69.66,83,40,19.57
192,Bathsheba,BB,2022-08-11 18:36:19,13.2167,-59.5167,88.41,70,40,16.11
193,Garowe,SO,2022-08-11 18:36:19,8.4054,48.4845,82.0,48,100,20.96
194,Lasa,IT,2022-08-11 18:36:20,46.6166,10.7002,65.21,81,100,3.51
195,Sao Jose Da Coroa Grande,BR,2022-08-11 18:36:20,-8.8978,-35.1478,78.55,75,28,8.99
196,Sao Joao Da Barra,BR,2022-08-11 18:36:21,-21.6403,-41.0511,78.89,49,97,23.51
197,Caucaia,BR,2022-08-11 18:34:14,-3.7361,-38.6531,87.31,70,40,14.97
198,Fairview,US,2022-08-11 18:36:21,40.8126,-73.999,91.08,38,20,10.36
199,Melito Di Porto Salvo,IT,2022-08-11 18:36:22,37.9222,15.7714,83.23,65,100,9.22
200,Coruripe,BR,2022-08-11 18:36:22,-10.1256,-36.1756,77.76,80,40,11.3
201,Lavrentiya,RU,2022-08-11 18:36:23,65.5833,-171.0,42.96,90,68,4.92
202,Fomboni,KM,2022-08-11 18:36:23,-12.28,43.7425,75.31,71,4,8.01
203,Zhangjiakou,CN,2022-08-11 18:36:23,40.81,114.8794,74.98,68,92,4.5
204,Alofi,NU,2022-08-11 18:36:24,-19.0595,-169.9187,73.29,88,100,5.75
205,Ambon,ID,2022-08-11 18:36:25,-3.6954,128.1814,73.54,94,20,8.05
206,Boden,SE,2022-08-11 18:36:25,65.8252,21.6886,60.8,56,97,11.25
207,Wanning,CN,2022-08-11 18:36:25,18.8003,110.3967,79.12,90,100,1.83
208,Amapa,BR,2022-08-11 18:36:26,1.0,-52.0,83.46,63,100,2.53
